Cohort,Company,Fiscal Year,Quarter,EBIT,Invested Capital,Risk Free Rate (AveraCompany2 Annual 3-Month T Bill),Capital CharCompany2,EBITDA,Return Volatility,Company Value,Company Value Volatility,Level of Protection,Risk Capital,Cost of Equity,Risk Premium,Risk CharCompany2,Risk Adjusted Profit,RAROC
Industry1,Company15,2010,3,437,15382,0.001548438,23.81806563,499,0.278236595,11672.24979,3247.64704,2.478327,8048.731345,0.100597103,0.099048665,797.2160948,-384.0341604,-0.024966465
Industry1,Company15,2010,4,461,15451,0.001395161,21.5566371,503,0.278236595,11277.87115,3137.916469,2.478327,7776.783108,0.107965488,0.106570327,828.7743159,-389.330953,-0.025197784
Industry1,Company15,2011,1,390,15570,0.001267742,19.73874194,449,0.278236595,12160.54991,3383.51,2.478327,8385.444189,0.102875825,0.101608083,852.0289122,-481.7676541,-0.030942046
Industry1,Company15,2011,2,404,15577,0.000452381,7.046738095,468,0.278236595,12991.24036,3614.638484,2.478327,8958.25615,0.102217522,0.101765141,911.6382028,-514.6849409,-0.033041339
Industry1,Company15,2011,3,359,15453,0.00025,3.86325,405,0.278236595,9930.538,2763.039081,2.478327,6847.714356,0.116337392,0.116087392,794.9333036,-439.7965536,-0.02846027
Industry1,Company15,2011,4,354,15508,0.000147541,2.288065574,415,0.278236595,10049.94713,2796.263069,2.478327,6930.054264,0.10914018,0.108992639,755.3249059,-403.6129715,-0.026026114
Industry1,Company15,2012,1,325,15699,0.000706452,11.09058387,380,0.278236595,10669.97544,2968.777637,2.478327,7357.601775,0.108634865,0.107928414,794.094289,-480.1848729,-0.030586972
Industry1,Company15,2012,2,331,15725,0.000882812,13.88222656,387,0.278236595,10857.57426,3020.974492,2.478327,7486.96265,0.108132768,0.107249956,802.9764127,-485.8586393,-0.030897211
Industry1,Company15,2012,3,331,14200,0.001015873,14.42539683,385,0.278236595,10238.27401,2848.6625,2.478327,7059.917188,0.102387199,0.101371326,715.6731654,-399.0985622,-0.028105533
Industry1,Company15,2012,4,364,13791,0.000896721,12.36668361,427,0.278236595,10285.03339,2861.672671,2.478327,7092.160645,0.104164028,0.103267306,732.3883261,-380.7550097,-0.027608949
Industry1,Company15,2013,1,313,13880,0.000863333,11.98306667,367,0.278236595,10727.8017,2984.867017,2.478327,7397.47652,0.100945039,0.100081706,740.3520697,-439.3351364,-0.031652387
Industry1,Company15,2013,2,290,13862,0.000515625,7.14759375,342,0.278236595,11038.01337,3071.179257,2.478327,7611.386475,0.102776854,0.102261229,778.3497349,-495.4973287,-0.03574501
Industry1,Company15,2013,3,306,14075,0.000321875,4.530390625,358,0.278236595,11825.75874,3290.358847,2.478327,8154.585169,0.09258322,0.092261345,752.3529974,-450.883388,-0.032034344
Industry1,Company15,2013,4,306,14007,0.000601613,8.426791935,362,0.278236595,12376.63191,3443.631921,2.478327,8534.445967,0.089359988,0.088758375,757.5035523,-459.9303442,-0.03283575
Industry1,Company15,2014,1,286,14065,0.000493443,6.940270492,340,0.278236595,13625.95308,3791.23879,2.478327,9395.929456,0.089601528,0.089108085,837.2532818,-558.1935523,-0.039686708
Industry1,Company15,2014,2,239,14116,0.000330159,4.660520635,294,0.278236595,14048.46416,3908.796835,2.478327,9687.276733,0.085103456,0.084773298,821.222393,-586.8829136,-0.041575724
Industry1,Company15,2014,3,257,14041,0.000264063,3.707701563,313,0.278236595,13265.84483,3691.043497,2.478327,9147.612757,0.090842514,0.090578451,828.5765952,-575.2842967,-0.040971747
Industry1,Company15,2014,4,294,13715,0.000225806,3.096935484,343,0.278236595,13926.33466,3874.815938,2.478327,9603.06096,0.090356158,0.090130352,865.5272642,-574.6241997,-0.041897499
Industry1,Company15,2015,1,187,13782,0.000245902,3.389016393,239,0.278236595,14035.25304,3905.121016,2.478327,9678.166852,0.094954102,0.0947082,916.6017645,-732.9907809,-0.053184645
Industry1,Company15,2015,2,153,13633,0.000182813,2.492282813,205,0.278236595,12930.07256,3597.619363,2.478327,8916.077203,0.100453317,0.100270505,894.0195633,-743.5118461,-0.054537655
Industry1,Company15,2015,3,231,13036,0.000426563,5.56066875,276,0.278236595,11929.7939,3319.305234,2.478327,8226.323783,0.09680821,0.096381647,792.8666391,-567.4273078,-0.043527716
