src,dst,rel
10058,2820,subClassOf
12781,10058,subClassOf
9323,2820,subClassOf
7829,2820,subClassOf
9057,2820,subClassOf
4716,2820,subClassOf
3553,2820,subClassOf
3893,2820,subClassOf
12826,3893,subClassOf
12996,3893,subClassOf
5018,2820,subClassOf
3019,2820,subClassOf
1968,2820,subClassOf
6527,2820,subClassOf
6011,3291,subClassOf
2825,6011,subClassOf
10812,2825,subClassOf
10624,2825,subClassOf
6264,2825,subClassOf
4456,2825,subClassOf
2280,2825,subClassOf
1187,2825,subClassOf
5295,2825,subClassOf
2319,6011,subClassOf
9250,2319,subClassOf
13462,2319,subClassOf
4020,2319,subClassOf
1519,4020,subClassOf
5395,2319,subClassOf
5394,2319,subClassOf
2291,6011,subClassOf
2279,2291,subClassOf
534,2291,subClassOf
6196,6011,subClassOf
3081,6196,subClassOf
2815,3081,subClassOf
2950,3081,subClassOf
11497,6196,subClassOf
4830,6196,subClassOf
4527,6196,subClassOf
2298,6011,subClassOf
9176,2298,subClassOf
3966,2298,subClassOf
5404,6011,subClassOf
12258,5404,subClassOf
490,5404,subClassOf
862,5404,subClassOf
7487,862,subClassOf
5791,862,subClassOf
1711,5404,subClassOf
9162,1711,subClassOf
4612,5404,subClassOf
2832,5404,subClassOf
4577,6011,subClassOf
5753,4577,subClassOf
7925,5753,subClassOf
9652,5753,subClassOf
5403,5753,subClassOf
4997,5753,subClassOf
6348,5753,subClassOf
4187,4577,subClassOf
2271,4577,subClassOf
2878,4577,subClassOf
5109,3291,subClassOf
281,5109,subClassOf
11359,281,subClassOf
11796,281,subClassOf
1452,281,subClassOf
5716,281,subClassOf
5048,5109,subClassOf
12183,5048,subClassOf
12867,5048,subClassOf
10000,5048,subClassOf
1875,5048,subClassOf
3039,5048,subClassOf
5072,5109,subClassOf
13013,5072,subClassOf
7065,5072,subClassOf
9389,5072,subClassOf
7509,5072,subClassOf
5037,5072,subClassOf
3730,5072,subClassOf
540,5109,subClassOf
7570,540,subClassOf
7502,540,subClassOf
7455,540,subClassOf
210,540,subClassOf
10580,210,subClassOf
922,210,subClassOf
8490,922,subClassOf
9466,922,subClassOf
9674,922,subClassOf
9077,922,subClassOf
10108,922,subClassOf
10025,922,subClassOf
11058,922,subClassOf
2803,922,subClassOf
3107,922,subClassOf
1919,922,subClassOf
2329,922,subClassOf
6256,922,subClassOf
4018,922,subClassOf
5757,922,subClassOf
975,922,subClassOf
1835,922,subClassOf
212,210,subClassOf
3003,5109,subClassOf
4506,5109,subClassOf
4560,4506,subClassOf
1207,5109,subClassOf
7593,1207,subClassOf
953,1207,subClassOf
3186,5109,subClassOf
12266,3186,subClassOf
11875,3186,subClassOf
3033,3186,subClassOf
3308,3186,subClassOf
2814,5109,subClassOf
11032,2814,subClassOf
12508,2814,subClassOf
6791,2814,subClassOf
11344,2814,subClassOf
10733,2814,subClassOf
9862,2814,subClassOf
3046,2814,subClassOf
2951,3291,subClassOf
3469,2951,subClassOf
4553,3469,subClassOf
12480,4553,subClassOf
549,4553,subClassOf
3384,4553,subClassOf
881,4553,subClassOf
3038,3469,subClassOf
7547,3038,subClassOf
2456,3038,subClassOf
1845,3038,subClassOf
8308,3469,subClassOf
11057,8308,subClassOf
2688,3469,subClassOf
7089,2688,subClassOf
10300,2688,subClassOf
217,2688,subClassOf
2803,217,subClassOf
11736,2688,subClassOf
11872,2688,subClassOf
4998,2688,subClassOf
5490,2688,subClassOf
6685,2688,subClassOf
8846,6685,subClassOf
7037,6685,subClassOf
234,6685,subClassOf
5029,6685,subClassOf
547,6685,subClassOf
6314,6685,subClassOf
2165,6685,subClassOf
3027,2688,subClassOf
10627,2951,subClassOf
8490,10627,subClassOf
10593,10627,subClassOf
8940,10627,subClassOf
5424,2951,subClassOf
11062,5424,subClassOf
4102,5424,subClassOf
1326,2951,subClassOf
8529,1326,subClassOf
8843,1326,subClassOf
9107,1326,subClassOf
12429,1326,subClassOf
11185,1326,subClassOf
9200,1326,subClassOf
3393,1326,subClassOf
2956,3291,subClassOf
2791,2956,subClassOf
3494,2791,subClassOf
9106,3494,subClassOf
463,3494,subClassOf
3623,3494,subClassOf
5764,3494,subClassOf
6336,3494,subClassOf
3368,3494,subClassOf
4990,3494,subClassOf
972,3494,subClassOf
1311,3494,subClassOf
5747,2791,subClassOf
9108,5747,subClassOf
10565,5747,subClassOf
11800,10565,subClassOf
8630,10565,subClassOf
8415,5747,subClassOf
11035,5747,subClassOf
11197,5747,subClassOf
7432,5747,subClassOf
4726,5747,subClassOf
4829,5747,subClassOf
10796,4829,subClassOf
8055,4829,subClassOf
4553,4829,subClassOf
5731,4829,subClassOf
4810,5747,subClassOf
4509,5747,subClassOf
10539,4509,subClassOf
1270,4509,subClassOf
5140,4509,subClassOf
1377,5747,subClassOf
12778,1377,subClassOf
8714,1377,subClassOf
191,1377,subClassOf
4025,1377,subClassOf
4510,1377,subClassOf
552,1377,subClassOf
5756,1377,subClassOf
954,1377,subClassOf
4918,5747,subClassOf
8563,4918,subClassOf
569,4918,subClassOf
3267,5747,subClassOf
8166,3267,subClassOf
4512,5747,subClassOf
2826,4512,subClassOf
2214,2791,subClassOf
216,2214,subClassOf
1003,2791,subClassOf
2812,1003,subClassOf
9011,2791,subClassOf
9286,9011,subClassOf
11189,9011,subClassOf
10019,9011,subClassOf
422,2791,subClassOf
12429,422,subClassOf
7062,422,subClassOf
3853,422,subClassOf
3533,3853,subClassOf
10566,3533,subClassOf
7498,3533,subClassOf
8385,3533,subClassOf
10021,3533,subClassOf
12775,3533,subClassOf
10513,3533,subClassOf
9717,3533,subClassOf
3470,3533,subClassOf
950,3533,subClassOf
4686,3853,subClassOf
12247,4686,subClassOf
4742,3853,subClassOf
11196,422,subClassOf
4686,422,subClassOf
6313,422,subClassOf
1556,2791,subClassOf
7508,1556,subClassOf
11728,7508,subClassOf
8426,7508,subClassOf
7078,7508,subClassOf
13456,7508,subClassOf
9662,7508,subClassOf
7912,1556,subClassOf
10597,7912,subClassOf
12725,7912,subClassOf
491,2791,subClassOf
3624,2791,subClassOf
6570,2791,subClassOf
4995,2791,subClassOf
577,2956,subClassOf
8455,577,subClassOf
922,577,subClassOf
10909,577,subClassOf
8686,577,subClassOf
13643,8686,subClassOf
12252,8686,subClassOf
2294,577,subClassOf
9943,2294,subClassOf
3988,2294,subClassOf
810,577,subClassOf
13483,810,subClassOf
7024,13483,subClassOf
9087,13483,subClassOf
3731,13483,subClassOf
