id,cap_name,type,prevParentId,prevId,capability_lib_id,industry_tree_id,company_id,hierarchy_id,parentId,tags,location,technologies,mpath,capability
1601,Document Control and Versioning,master,22710,22711,1347,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1601.,
1602,Vaulting,master,22710,22712,1348,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1602.,
1603,Quality Control,master,22724,22713,1050,,,2,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1603.,
1604,New Product Introduction (NPI),master,6385,22714,1055,,,1,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1604.,
1605,Product Lifecycle Management (PLM),master,22699,22715,1197,,,8,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1605.,
1606,Advanced Product Quality Planning (APQP),master,22724,22716,1198,,,1,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1606.,
1607,Production Part Approval Process (PPAP),master,22724,22717,1199,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1607.,
1608,Engineering Change Order Management,master,22699,22718,1200,,,11,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1608.,
1609,Engineering Change Request (ECR),master,22718,22719,1349,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1609.,
1610,Engineering Change Order (ECO),master,22718,22720,1350,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1610.,
1611,Engineering Change Notification (ECN),master,22718,22721,1351,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1611.,
1612,Conceptualization,master,22740,22722,1201,,,5,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1612.,
1613,Competitive Analysis,master,22740,22723,1202,,,4,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1613.,
1614,Product Quality Management,master,22698,22724,1053,,,4,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1614.,
1615,Debugging,master,22724,22725,1203,,,3,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1615.,
1616,First Article Approvals,master,22724,22726,1204,,,4,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1616.,
1617,Product Document Management,master,6385,22727,1205,,,3,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1617.,
1618,Research & Development,master,22698,22728,1054,,,1,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1618.,
1619,Product Portfolio Management,master,22728,22729,1206,,,4,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1619.,
1620,Product Innovation,master,22729,22730,1207,,,1,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1620.,
1621,Patent Management,master,22729,22731,1208,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1621.,
1622,R&D Planning,master,22728,22732,1209,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1622.,
1623,Prototyping,master,6385,22733,741,,,2,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1623.,
1624,Product Rationalization,master,22728,22734,1095,,,3,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1624.,
1625,Product Demand Analysis,master,22729,22735,1210,,,2,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1625.,
1626,Product Materials Analysis,master,22729,22736,1211,,,3,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1626.,
1627,Distribution Analysis,master,22729,22737,1212,,,4,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1627.,
1628,Method Development,master,22729,22738,1213,,,5,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1628.,
1629,Method Testing & Execution,master,22729,22739,1214,,,6,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1629.,
1630,New Product Introduction (NPI),master,22698,22740,1055,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1630.,
