id,cap_name,type,industry_tree_id,company_id,parentId,mpath,capability_lib_id,capability,tags,location,technologies,hierarchy_id
15496,Cap3,master,,,,15496.,14,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15497,Cap3,master,,,,15497.,14,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15498,Cap3,master,,,,15498.,15,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15500,Cap3,master,,,,15500.,15,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15502,Corporate Loan,master,,,,15502.,50,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15503,Corporate Loan,master,,,,15503.,50,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15512,MANUFACTURING PLACEHOLDER,master,,,6385,6385.15512.,984,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],48
15514,Business Management Support,master,,,15512,6385.15512.15514.,94,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1
15520,Optimization,master,,,15514,6385.15512.15514.15520.,639,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],4
15522,Human Resources,master,,,15514,6385.15512.15514.15522.,494,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1
15524,Customer Service,master,,,15512,6385.15512.15524.,360,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],13
15528,Service Centers,master,,,15524,6385.15512.15524.15528.,875,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15530,Demand Planning,master,,,15512,6385.15512.15530.,384,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],4
15534,Planning,master,,,15530,6385.15512.15530.15534.,691,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15536,Finance & Accounting,master,,,15512,6385.15512.15536.,452,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],5
15537,Accounting,master,,,13407,6385.15537.,18,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15540,"Billing, Collections & Bad Debt",master,,,15536,6385.15512.15536.15540.,168,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15542,Payments,master,,,15536,6385.15512.15536.15542.,672,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15546,Fleet Management,master,,,15512,6385.15512.15546.,465,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],6
15550,Route Optimization & Scheduling,master,,,15546,6385.15512.15546.15550.,844,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15554,Route Planning,master,,,15550,6385.15512.15546.15550.15554.,845,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15556,Manufacture/Production,master,,,15512,6385.15512.15556.,576,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],7
15557,Engineering,master,,,15423,6385.15557.,431,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15560,Fabrication,master,,,15556,6385.15512.15556.15560.,34,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15562,Predictive Maintenance,master,,,15556,6385.15512.15556.15562.,713,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15564,Quality Management,master,,,15512,6385.15512.15564.,774,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],8
15568,R&D,master,,,15512,6385.15512.15568.,781,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15572,Inspection & Testing,master,,,15556,6385.15512.15556.15572.,519,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15574,Order Management,master,,,15556,6385.15512.15556.15574.,643,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15576,Marketing,master,,,15512,6385.15512.15576.,594,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],9
15582,Customer Acquisition,master,,,15576,6385.15512.15576.15582.,334,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15584,Marketing,master,,,15576,6385.15512.15576.15584.,594,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15586,Materials Handling,master,,,15512,6385.15512.15586.,597,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],10
